run eCommerce_ConversionRate.py
cuda:0
BinaryClassification(
  (layer_1): Linear(in_features=10, out_features=8400, bias=True)
  (layer_2): Linear(in_features=8400, out_features=8400, bias=True)
  (layer_3): Linear(in_features=8400, out_features=8400, bias=True)
  (layer_out): Linear(in_features=8400, out_features=1, bias=True)
  (relu): ReLU()
  (dropout): Dropout(p=0.1, inplace=False)
  (batchnorm1): BatchNorm1d(8400, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (batchnorm2): BatchNorm1d(8400, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (batchnorm3): BatchNorm1d(8400, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
Epoch 001: | Loss: 3.77960 | Acc: 53.889
Epoch 002: | Loss: 1.24824 | Acc: 54.333
Epoch 003: | Loss: 0.78914 | Acc: 58.667
Epoch 004: | Loss: 0.69359 | Acc: 64.000
Epoch 005: | Loss: 0.64323 | Acc: 63.556
Epoch 006: | Loss: 0.62860 | Acc: 65.444
Epoch 007: | Loss: 0.61579 | Acc: 66.667
Epoch 008: | Loss: 0.60958 | Acc: 67.333
Epoch 009: | Loss: 0.60379 | Acc: 67.889
Epoch 010: | Loss: 0.59804 | Acc: 67.889
Epoch 011: | Loss: 0.59137 | Acc: 68.889
Epoch 012: | Loss: 0.58357 | Acc: 69.889
Epoch 013: | Loss: 0.57701 | Acc: 70.556
Epoch 014: | Loss: 0.56867 | Acc: 71.222
Epoch 015: | Loss: 0.56468 | Acc: 71.333
Epoch 016: | Loss: 0.56077 | Acc: 71.556
Epoch 017: | Loss: 0.55864 | Acc: 71.778
Epoch 018: | Loss: 0.55697 | Acc: 71.778
Epoch 019: | Loss: 0.54840 | Acc: 72.111
Epoch 020: | Loss: 0.54802 | Acc: 72.222
Epoch 021: | Loss: 0.54535 | Acc: 72.111
Epoch 022: | Loss: 0.54406 | Acc: 72.444
Epoch 023: | Loss: 0.54027 | Acc: 72.667
Epoch 024: | Loss: 0.53913 | Acc: 72.667
Epoch 025: | Loss: 0.53812 | Acc: 72.778
Epoch 026: | Loss: 0.53659 | Acc: 72.889
Epoch 027: | Loss: 0.53617 | Acc: 72.889
Epoch 028: | Loss: 0.54686 | Acc: 72.222
Epoch 029: | Loss: 0.53960 | Acc: 72.778
Epoch 030: | Loss: 0.53206 | Acc: 73.222
Epoch 031: | Loss: 0.53285 | Acc: 73.111
Epoch 032: | Loss: 0.52987 | Acc: 73.556
Epoch 033: | Loss: 0.53028 | Acc: 73.556
Epoch 034: | Loss: 0.52673 | Acc: 73.667
Epoch 035: | Loss: 0.52571 | Acc: 73.556
Epoch 036: | Loss: 0.52717 | Acc: 73.667
Epoch 037: | Loss: 0.52594 | Acc: 73.778
Epoch 038: | Loss: 0.52453 | Acc: 73.889
Epoch 039: | Loss: 0.52508 | Acc: 73.889
Epoch 040: | Loss: 0.52222 | Acc: 74.111
Epoch 041: | Loss: 0.52136 | Acc: 73.889
Epoch 042: | Loss: 0.52237 | Acc: 74.000
Epoch 043: | Loss: 0.52206 | Acc: 73.889
Epoch 044: | Loss: 0.52091 | Acc: 74.111
Epoch 045: | Loss: 0.51961 | Acc: 74.000
Epoch 046: | Loss: 0.52114 | Acc: 74.111
Epoch 047: | Loss: 0.52156 | Acc: 74.111
Epoch 048: | Loss: 0.52001 | Acc: 74.333
Epoch 049: | Loss: 0.52164 | Acc: 74.333
Epoch 050: | Loss: 0.51828 | Acc: 74.111
Epoch 051: | Loss: 0.52536 | Acc: 74.000
Epoch 052: | Loss: 0.52577 | Acc: 73.778
Epoch 053: | Loss: 0.51757 | Acc: 74.556
Epoch 054: | Loss: 0.51402 | Acc: 74.556
Epoch 055: | Loss: 0.51544 | Acc: 74.556
Epoch 056: | Loss: 0.51444 | Acc: 74.667
Epoch 057: | Loss: 0.51575 | Acc: 74.667
Epoch 058: | Loss: 0.51750 | Acc: 74.444
Epoch 059: | Loss: 0.51275 | Acc: 74.556
Epoch 060: | Loss: 0.52133 | Acc: 74.111
Epoch 061: | Loss: 0.52025 | Acc: 74.111
Epoch 062: | Loss: 0.51644 | Acc: 74.444
Epoch 063: | Loss: 0.51873 | Acc: 74.444
Epoch 064: | Loss: 0.51559 | Acc: 74.556
Epoch 065: | Loss: 0.51351 | Acc: 74.778
Epoch 066: | Loss: 0.51691 | Acc: 74.333
Epoch 067: | Loss: 0.51389 | Acc: 74.778
Epoch 068: | Loss: 0.51754 | Acc: 74.444
Epoch 069: | Loss: 0.51656 | Acc: 74.444
Epoch 070: | Loss: 0.51876 | Acc: 74.444
Epoch 071: | Loss: 0.51510 | Acc: 74.556
Epoch 072: | Loss: 0.51535 | Acc: 74.556
Epoch 073: | Loss: 0.51626 | Acc: 74.333
Epoch 074: | Loss: 0.50821 | Acc: 75.000
Epoch 075: | Loss: 0.50953 | Acc: 74.889
Epoch 076: | Loss: 0.50975 | Acc: 75.000
Epoch 077: | Loss: 0.50911 | Acc: 75.111
Epoch 078: | Loss: 0.50658 | Acc: 74.778
Epoch 079: | Loss: 0.51008 | Acc: 75.000
Epoch 080: | Loss: 0.51743 | Acc: 74.333
Epoch 081: | Loss: 0.50932 | Acc: 74.889
Epoch 082: | Loss: 0.51320 | Acc: 74.667
Epoch 083: | Loss: 0.50999 | Acc: 74.889
Epoch 084: | Loss: 0.50784 | Acc: 75.000
Epoch 085: | Loss: 0.51140 | Acc: 74.667
Epoch 086: | Loss: 0.51056 | Acc: 74.778
Epoch 087: | Loss: 0.50838 | Acc: 75.222
Epoch 088: | Loss: 0.50881 | Acc: 74.778
Epoch 089: | Loss: 0.50549 | Acc: 75.111
Epoch 090: | Loss: 0.50645 | Acc: 75.111
Epoch 091: | Loss: 0.50663 | Acc: 75.111
Epoch 092: | Loss: 0.50444 | Acc: 75.222
Epoch 093: | Loss: 0.51123 | Acc: 74.778
Epoch 094: | Loss: 0.51022 | Acc: 75.000
Epoch 095: | Loss: 0.50524 | Acc: 75.111
Epoch 096: | Loss: 0.50569 | Acc: 75.222
Epoch 097: | Loss: 0.50765 | Acc: 74.889
Epoch 098: | Loss: 0.50853 | Acc: 75.111
Epoch 099: | Loss: 0.50875 | Acc: 75.111
Epoch 100: | Loss: 0.50744 | Acc: 75.222
Epoch 101: | Loss: 0.50715 | Acc: 75.111
Epoch 102: | Loss: 0.50600 | Acc: 75.333
Epoch 103: | Loss: 0.50341 | Acc: 75.333
